timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655508249019,18940,Create Warehouse,200,OK,warmUpThread Group 1-1,text,true,,57,0,1,1,null,18939,0,18743
1655508267963,390,Alter Warehouse,200,OK,warmUpThread Group 1-1,text,true,,40,0,1,1,null,390,0,0
1655508268354,122,Use Schema,200,OK,warmUpThread Group 1-1,text,true,,40,0,1,1,null,122,0,0
1655508268531,8116,Q98A,200,OK,Query Group 1-1,text,true,,9749959,0,13,13,null,5511,0,0
1655508270600,12979,Q52A,200,OK,Query Group 1-4,text,true,,4235,0,16,16,null,12977,0,0
1655508272597,27553,Q55A,200,OK,Query Group 1-7,text,true,,3677,0,16,16,null,27552,0,0
1655508275286,35547,Q98A,200,OK,Query Group 1-11,text,true,,9749959,0,16,16,null,31887,0,0
1655508271917,57982,Q73A,200,OK,Query Group 1-6,text,true,,71607,0,16,16,null,57724,0,0
1655508277866,54072,Q98A,200,OK,Query Group 1-15,text,true,,9749959,0,16,16,null,51640,0,0
1655508273947,60029,Q19A,200,OK,Query Group 1-9,text,true,,5369,0,16,16,null,60029,0,0
1655508278602,57476,Q42A,200,OK,Query Group 1-16,text,true,,409,0,16,16,null,57475,0,0
1655508273233,63697,Q19A,200,OK,Query Group 1-8,text,true,,5369,0,16,16,null,63696,0,0
1655508275885,73112,Q19A,200,OK,Query Group 1-12,text,true,,5369,0,16,16,null,73111,0,0
1655508274612,75275,Q19A,200,OK,Query Group 1-10,text,true,,5369,0,16,16,null,75274,0,0
1655508276564,73366,Q42A,200,OK,Query Group 1-13,text,true,,409,0,16,16,null,73366,0,0
1655508332011,25224,Q52A,200,OK,Query Group 1-15,text,true,,4235,0,16,16,null,25223,0,0
1655508269224,90089,Q68A,200,OK,Query Group 1-2,text,true,,7052,0,16,16,null,90088,0,0
1655508271254,88693,Q19A,200,OK,Query Group 1-5,text,true,,5369,0,16,16,null,88692,0,0
1655508269897,91173,Q19A,200,OK,Query Group 1-3,text,true,,5369,0,16,16,null,91172,0,0
1655508349950,24645,Q55A,200,OK,Query Group 1-13,text,true,,3677,0,16,16,null,24644,0,0
1655508359974,14746,Q55A,200,OK,Query Group 1-5,text,true,,3677,0,16,16,null,14746,0,0
1655508361179,19031,Q52A,200,OK,Query Group 1-3,text,true,,4235,0,16,16,null,19031,0,0
1655508359340,25497,Q55A,200,OK,Query Group 1-2,text,true,,3677,0,16,16,null,25496,0,0
1655508374745,10686,Q42A,200,OK,Query Group 1-5,text,true,,409,0,16,16,null,10685,0,0
1655508277261,119903,Q73A,200,OK,Query Group 1-14,text,true,,71607,0,16,16,null,119628,0,0
1655508276737,124205,Q68A,200,OK,Query Group 1-1,text,true,,7052,0,16,16,null,124205,0,0
1655508283653,124941,Q68A,200,OK,Query Group 1-4,text,true,,7052,0,16,16,null,124940,0,0
1655508300227,108778,Q19A,200,OK,Query Group 1-7,text,true,,5369,0,16,16,null,108777,0,0
