timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655508249019,18418,Create Warehouse,200,OK,warmUpThread Group 1-1,text,true,,56,0,1,1,null,18417,0,18212
1655508267441,317,Alter Warehouse,200,OK,warmUpThread Group 1-1,text,true,,40,0,1,1,null,316,0,0
1655508267758,152,Use Schema,200,OK,warmUpThread Group 1-1,text,true,,40,0,1,1,null,152,0,0
1655508268650,11320,Q98A,200,OK,Query Group 1-2,text,true,,9749959,0,16,16,null,8763,0,1
1655508269372,15231,Q98A,200,OK,Query Group 1-3,text,true,,9749959,0,16,16,null,12472,0,0
1655508272014,16873,Q98A,200,OK,Query Group 1-7,text,true,,9749959,0,16,16,null,14012,0,0
1655508270033,19139,Q55A,200,OK,Query Group 1-4,text,true,,3677,0,16,16,null,19137,0,0
1655508271386,17821,Q42A,200,OK,Query Group 1-6,text,true,,409,0,16,16,null,17820,0,0
1655508275348,15920,Q42A,200,OK,Query Group 1-12,text,true,,409,0,16,16,null,15920,0,0
1655508276621,21897,Q42A,200,OK,Query Group 1-14,text,true,,409,0,16,16,null,21897,0,0
1655508268026,39434,Q19A,200,OK,Query Group 1-1,text,true,,5369,0,16,16,null,39434,0,0
1655508289220,20571,Q42A,200,OK,Query Group 1-4,text,true,,409,0,16,16,null,20570,0,0
1655508274716,43032,Q19A,200,OK,Query Group 1-11,text,true,,5369,0,16,16,null,43031,0,0
1655508298587,30022,Q52A,200,OK,Query Group 1-14,text,true,,4235,0,16,16,null,30022,0,0
1655508317777,11142,Q42A,200,OK,Query Group 1-11,text,true,,409,0,16,16,null,11142,0,0
1655508307534,21696,Q55A,200,OK,Query Group 1-1,text,true,,3677,0,16,16,null,21696,0,0
1655508276011,53658,Q73A,200,OK,Query Group 1-13,text,true,,71607,0,16,16,null,53319,0,0
1655508272709,60824,Q68A,200,OK,Query Group 1-8,text,true,,7052,0,16,16,null,60824,0,0
1655508274026,60955,Q68A,200,OK,Query Group 1-10,text,true,,7052,0,16,16,null,60955,0,0
1655508273348,62125,Q68A,200,OK,Query Group 1-9,text,true,,7052,0,16,16,null,62125,0,0
1655508328623,7357,Q55A,200,OK,Query Group 1-14,text,true,,3677,0,16,16,null,7357,0,0
1655508329724,10283,Q42A,200,OK,Query Group 1-13,text,true,,409,0,16,16,null,10283,0,0
1655508328949,12845,Q52A,200,OK,Query Group 1-11,text,true,,4235,0,16,16,null,12844,0,0
1655508309795,32777,Q73A,200,OK,Query Group 1-4,text,true,,71607,0,16,16,null,32444,0,0
1655508329311,13297,Q52A,200,OK,Query Group 1-1,text,true,,4235,0,16,16,null,13297,0,0
1655508333598,10552,Q98A,200,OK,Query Group 1-8,text,true,,9749959,0,16,16,null,6558,0,0
1655508291343,52935,Q73A,200,OK,Query Group 1-12,text,true,,71607,0,16,16,null,52862,0,0
1655508335530,9341,Q42A,200,OK,Query Group 1-9,text,true,,409,0,16,16,null,9340,0,0
1655508270637,77475,Q63A,200,OK,Query Group 1-5,text,true,,2941,0,16,16,null,77474,0,0
1655508340039,9282,Q55A,200,OK,Query Group 1-13,text,true,,3677,0,16,16,null,9281,0,0
1655508344244,7853,Q52A,200,OK,Query Group 1-8,text,true,,4235,0,16,16,null,7852,0,0
1655508341823,11355,Q98A,200,OK,Query Group 1-11,text,true,,9749959,0,16,16,null,7284,0,0
1655508344889,12098,Q52A,200,OK,Query Group 1-9,text,true,,4235,0,16,16,null,12097,0,0
1655508352172,7776,Q42A,200,OK,Query Group 1-8,text,true,,409,0,16,16,null,7775,0,1
1655508344374,16439,Q52A,200,OK,Query Group 1-12,text,true,,4235,0,16,16,null,16438,0,0
1655508348163,14020,Q42A,200,OK,Query Group 1-5,text,true,,409,0,16,16,null,14019,0,0
1655508357029,10332,Q55A,200,OK,Query Group 1-9,text,true,,3677,0,16,16,null,10332,0,0
1655508360040,12411,Q55A,200,OK,Query Group 1-8,text,true,,3677,0,16,16,null,12410,0,0
1655508349321,35154,Q19A,200,OK,Query Group 1-13,text,true,,5369,0,16,16,null,35154,0,0
1655508353266,32172,Q73A,200,OK,Query Group 1-11,text,true,,71607,0,16,16,null,31846,0,0
1655508335029,51424,Q63A,200,OK,Query Group 1-10,text,true,,2941,0,16,16,null,51424,0,0
1655508342618,46225,Q63A,200,OK,Query Group 1-4,text,true,,2941,0,16,16,null,46224,0,0
1655508385467,6988,Q55A,200,OK,Query Group 1-11,text,true,,3677,0,16,16,null,6987,0,0
1655508388921,7249,Q52A,200,OK,Query Group 1-4,text,true,,4235,0,16,16,null,7248,0,0
1655508384490,12830,Q98A,200,OK,Query Group 1-13,text,true,,9749959,0,16,16,null,5639,0,0
1655508367457,31100,Q19A,200,OK,Query Group 1-9,text,true,,5369,0,16,16,null,31099,0,0
1655508372500,28736,Q19A,200,OK,Query Group 1-8,text,true,,5369,0,16,16,null,28735,0,0
1655508336028,70468,Q63A,200,OK,Query Group 1-14,text,true,,2941,0,16,16,null,70468,0,0
1655508342631,70070,Q63A,200,OK,Query Group 1-1,text,true,,2941,0,16,16,null,70070,0,0
1655508278020,137129,Q63A,200,OK,Query Group 1-16,text,true,,2941,0,16,16,null,137129,0,0
1655508288948,126336,Q63A,200,OK,Query Group 1-7,text,true,,2941,0,16,16,null,126335,0,0
1655508279980,135423,Q63A,200,OK,Query Group 1-2,text,true,,2941,0,16,16,null,135423,0,0
1655508284674,130777,Q63A,200,OK,Query Group 1-3,text,true,,2941,0,16,16,null,130777,0,0
1655508386528,29847,Q73A,200,OK,Query Group 1-10,text,true,,71607,0,16,16,null,29536,0,0
1655508362198,55134,Q73A,200,OK,Query Group 1-5,text,true,,71607,0,16,16,null,55068,0,0
1655508360836,65880,Q63A,200,OK,Query Group 1-12,text,true,,2941,0,16,16,null,65879,0,0
1655508415242,11758,Q55A,200,OK,Query Group 1-16,text,true,,3677,0,16,16,null,11758,0,0
1655508415339,13780,Q42A,200,OK,Query Group 1-7,text,true,,409,0,16,16,null,13780,0,0
1655508289240,140601,Q19A,200,OK,Query Group 1-6,text,true,,5369,0,16,16,null,140600,0,0
1655508415484,15699,Q42A,200,OK,Query Group 1-3,text,true,,409,0,16,16,null,15698,0,1
1655508416469,15984,Q52A,200,OK,Query Group 1-10,text,true,,4235,0,16,16,null,15984,0,0
1655508406501,27600,Q19A,200,OK,Query Group 1-14,text,true,,5369,0,16,16,null,27599,0,0
1655508417389,16854,Q98A,200,OK,Query Group 1-5,text,true,,9749959,0,16,16,null,10824,0,0
1655508396202,40502,Q19A,200,OK,Query Group 1-4,text,true,,5369,0,16,16,null,40501,0,0
1655508277280,160924,Q68A,200,OK,Query Group 1-15,text,true,,7052,0,16,16,null,160923,0,0
1655508431231,8866,Q55A,200,OK,Query Group 1-3,text,true,,3677,0,16,16,null,8865,0,0
1655508401239,39371,Q73A,200,OK,Query Group 1-8,text,true,,71607,0,16,16,null,39131,0,1
1655508427006,16514,Q98A,200,OK,Query Group 1-16,text,true,,9749959,0,16,16,null,9557,0,0
1655508434274,9704,Q55A,200,OK,Query Group 1-5,text,true,,3677,0,16,16,null,9704,0,0
1655508397363,48513,Q63A,200,OK,Query Group 1-13,text,true,,2941,0,16,16,null,48513,0,0
1655508434137,12182,Q98A,200,OK,Query Group 1-14,text,true,,9749959,0,16,16,null,7895,0,0
1655508443605,4482,Q52A,200,OK,Query Group 1-16,text,true,,4235,0,16,16,null,4482,0,0
1655508426745,22595,Q19A,200,OK,Query Group 1-12,text,true,,5369,0,16,16,null,22594,0,0
1655508432484,19679,Q98A,200,OK,Query Group 1-10,text,true,,9749959,0,16,16,null,13683,0,0
1655508412794,42418,Q73A,200,OK,Query Group 1-1,text,true,,71607,0,16,16,null,42338,0,0
1655508448134,7920,Q42A,200,OK,Query Group 1-16,text,true,,409,0,16,16,null,7920,0,0
1655508398623,58450,Q63A,200,OK,Query Group 1-9,text,true,,2941,0,16,16,null,58450,0,0
1655508452225,8871,Q55A,200,OK,Query Group 1-10,text,true,,3677,0,16,16,null,8870,0,0
1655508429949,31893,Q55A,200,OK,Query Group 1-6,text,true,,3677,0,16,16,null,31893,0,0
1655508392538,73237,Q68A,200,OK,Query Group 1-11,text,true,,7052,0,16,16,null,73236,0,0
1655508440142,28311,Q19A,200,OK,Query Group 1-3,text,true,,5369,0,16,16,null,28310,0,0
1655508461122,10965,Q42A,200,OK,Query Group 1-10,text,true,,409,0,16,16,null,10964,0,0
1655508449350,24586,Q98A,200,OK,Query Group 1-12,text,true,,9749959,0,16,16,null,16695,0,0
1655508415473,59866,Q68A,200,OK,Query Group 1-2,text,true,,7052,0,16,16,null,59866,0,0
1655508455283,22974,Q98A,200,OK,Query Group 1-1,text,true,,9749959,0,16,16,null,14758,0,0
1655508457088,23224,Q98A,200,OK,Query Group 1-9,text,true,,9749959,0,16,16,null,15158,0,1
1655508438275,43048,Q73A,200,OK,Query Group 1-15,text,true,,71607,0,16,16,null,42962,0,0
1655508429171,54897,Q68A,200,OK,Query Group 1-7,text,true,,7052,0,16,16,null,54896,0,0
1655508461867,22237,Q98A,200,OK,Query Group 1-6,text,true,,9749959,0,16,16,null,14193,0,1
1655508440622,46505,Q63A,200,OK,Query Group 1-8,text,true,,2941,0,16,16,null,46505,0,0
1655508473951,13460,Q55A,200,OK,Query Group 1-12,text,true,,3677,0,15,15,null,13460,0,0
1655508436802,56494,Q68A,200,OK,Query Group 1-4,text,true,,7052,0,15,15,null,56494,0,0
1655508445938,49103,Q68A,200,OK,Query Group 1-13,text,true,,7052,0,15,15,null,49103,0,0
1655508443984,51486,Q68A,200,OK,Query Group 1-5,text,true,,7052,0,15,15,null,51485,0,0
1655508481339,14217,Q98A,200,OK,Query Group 1-15,text,true,,9749959,0,15,15,null,9020,0,0
1655508495560,5745,Q52A,200,OK,Query Group 1-5,text,true,,4235,0,15,15,null,5745,0,0
1655508495109,7591,Q52A,200,OK,Query Group 1-13,text,true,,4235,0,15,15,null,7590,0,0
